家賃,物件番号,情報更新日,次回更新予定日,所在地,建物名,沿線・駅・交通,専有面積,専用庭面積,間取り,間取り内訳,バルコニー,サービスルーム数,小学校区,中学校区,駐車場,駐車場：形式,駐車場：状況,駐車場備考,駐車場敷金,敷金,礼金,精算方式,保証金,保証金償却,管理費,共益費,雑費,家賃保証会社,家賃保証・保証費用等,保険,更新料,その他一時金,施設費用,その他費用,賃貸借区分,契約期間,特優賃区分,管理員の勤務形態,敷地延長,建物構造,建物工法,最適用途,階建,階,築年月,現況,入居可能時期,設備,特記事項,備考,取引態様,担当者,担当者連絡先
6.3,99280701,2022年12月06日,2022年12月20日,福岡市東区和白６丁目19-4  mapを見る,アネックス三苫II  402,西日本鉄道貝塚線和白駅 徒歩11分 駅までmap ,69.7㎡ / 約21.08坪,,3LDK,, 南,,,,空無,,　,17台,,無,1ヶ月,,無,,3000円,,無,,,有、13000円、1年、東京海上ウエスト（例）※契約者や条件によっては、内容が変更になる場合があります。,無,カギ交換費用：1万7600円消毒代（任意）：1万6500円退去時清掃代：6万9300円更新事務手数料：1万1000円,,町内会費：500円 / 月緊急サポート（SEE：880円 / 月,,2年,,,,ＲＣ,,,地上4階建,4階部分,1993[H5]年10月,空家,即時　,プロパンガス　 エアコン　 トイレ　 バス・トイレ別　 温水洗浄便座　 ガスコンロ設置可　 洗面所　 室内洗濯機置場　 フローリング　 バルコニー　 ＴＶモニタ付きインターホン　 駐輪場　 インターネット使い放題　 インターネット対応　 シューズボックス　,フリーレント　 最上階　,エアコンをリビングに1台設置、洗面台を新品に取替済,代理,,"
"
7.3,99287466,2022年12月05日,2022年12月19日,福岡市博多区博多駅東３丁目176-1  mapを見る,LELION KAWAKAMI  303,福岡市空港線東比恵駅 徒歩7分 駅までmap 福岡市空港線博多駅 徒歩10分 駅までmap 鹿児島本線博多駅 徒歩10分 駅までmap ,34.18㎡ / 約10.34坪,,1LDK,,,,,,空無,,　,,,無,1.5ヶ月,実費,無,,5000円,,無,有 アシスト保証※契約者や条件によっては、内容が変更になる場合があります。,,無,旧賃料22000円 ,退去時清掃費（税別）：7万円,,安心サポート：1500円 / 月,,2年,,巡回,,ＲＣ,,,地上8階建,3階部分,2023[R5]年2月（新築）,未完成,予定　2023年3月上旬,プロパンガス　 エアコン　 給湯　 追焚機能　 トイレ　 バス・トイレ別　 温水洗浄便座　 ＢＳ端子　 ＣＳ　 収納スペース　 ウォークインクローゼット　 システムキッチン　 カウンターキッチン　 シャンプードレッサー　 室内洗濯機置場　 浴室乾燥機　 フローリング　 バルコニー　 エレベーター　 オートロック　 ＴＶモニタ付きインターホン　 宅配ボックス　 駐輪場　 インターネット使い放題　 防犯カメラ　 全居室フローリング　 玄関収納　 シューズボックス　 ３口コンロ以上　,未入居　 保証人不要　,"当社の空室資料はこちらからダウンロードできます。ＩＤ、ＰＡＳＳは直接ご連絡下さい！！【ゼロ不動産管理ホームページ】http://www.zerokanri.co.jp/trader/index.html毎週月、金曜日18時に最新情報更新！！【初期費用等】鍵交換代：契約時不要　退去時紛失の場合22,000円（税込）保証会社：保証人有40％　無50％安心サポート：初回入会金5,000円(簡易消火器付)月額1,500円※安心サポートには24時間緊急サポートと家財保険が含まれます。町費：未定バイク（原付）駐輪：月額1,100円（税込）",代理,,"
"
6.5,99302269,2022年12月06日,2022年12月20日,福岡市博多区比恵町１０－１  mapを見る,ロータリープラザ博多駅東  203,鹿児島本線博多駅 徒歩11分 瑞穂バス停 徒歩3分 駅までmap ,47.4㎡ / 約14.34坪,,2LDK,和6／和4.5／洋4.5／ＤＫ6, 南西,,,,無,,　,,,無,2ヶ月 / 13万円,,無,,無,無,無,,,有、20000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,,,,,2年,,,,ＲＣ,,,地上7階建,2階部分,1985[S60]年3月,空家,相談　,都市ガス　 電気　 上水道　 下水道　 給湯　 トイレ　 バス・トイレ別　 シャワー　 温水洗浄便座　 ＢＳ端子　 ガスコンロ設置可　 室内洗濯機置場　 フローリング　 バルコニー　 エレベーター　 駐輪場　 独立洗面脱衣所　,分譲タイプ　,博多駅までも徒歩圏内のファミリー物件。分譲賃貸マンションならではの重厚感。エレベーター付でご高齢の方も安心ですね。博多では希少な２LK、洋室2部屋にリノベ中！,専任媒介,,"
"
7.1,99114569,2022年12月05日,2022年12月19日,福岡市博多区麦野４丁目38-1  mapを見る,リアンシエルブルー雑餉隈  1002,西鉄天神大牟田線雑餉隈駅 徒歩2分 駅までmap 鹿児島本線南福岡駅 徒歩8分 駅までmap 鹿児島本線春日駅 徒歩18分 駅までmap ,32.25㎡ / 約9.76坪,,1LDK,ＬＤＫ10／洋4, 8.38㎡,,,,空無,,　,,,無,1ヶ月,,無,,無,5000円,無,有 確認ください（全保連　月額合計100％ジェイリース　月額合計80％日本セーフティ：月額合計80％～100％）※契約者や条件によっては、内容が変更になる場合があります。,,有、15000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,鍵交換代：1万9800円,,共益費：5000円 / 月町費：400円 / 月シード24：840円 / 月口座振替手数料：400円 / 月,,1年,,,,ＲＣ,,,地上11階建,10階部分,2020[R2]年3月,居住中,相談　,プロパンガス　 エアコン　 給湯　 トイレ　 バス・トイレ別　 シャワー　 温水洗浄便座　 ＢＳ端子　 ＣＳ　 収納スペース　 ウォークインクローゼット　 システムキッチン　 洗面所　 洗面台　 シャンプードレッサー　 洗濯機置場　 室内洗濯機置場　 浴室乾燥機　 フローリング　 ディンプルキー　 バルコニー　 エレベーター　 オートロック　 ＴＶモニタ付きインターホン　 宅配ボックス　 駐輪場　 24時間セキュリティ　 ２口コンロ　 インターネット使い放題　 防犯カメラ　 火災報知機　 光ファイバー　 ダブルロックキー　 シューズボックス　 敷地内ゴミ置き場　,ペット相談可　 小型犬可　 猫可　 日当り良好　 外観タイル張り　 眺望良好　,退去時クリーニング：44000円,代理,,"
"
4,99260963,2022年12月05日,2022年12月19日,福岡市中央区高砂２丁目6-20  mapを見る,高砂コーポ  203,西鉄天神大牟田線西鉄平尾駅 徒歩11分 駅までmap 福岡市七隈線渡辺通駅 徒歩12分 駅までmap 福岡市七隈線薬院駅 徒歩13分 駅までmap ,内法18㎡ / 約5.45坪,,1DK,洋4,,,,,無,,　,,,無,1ヶ月,,無,,無,無,3000円,有 日本セーフティー株式会社※契約者や条件によっては、内容が変更になる場合があります。,50％（保証人あり）,有、20170円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,,,,,2年,,巡回,,ＳＲＣ,,,地上5階建,2階部分,1980[S55]年5月,空家,即時　,都市ガス　 エアコン　 給湯　 バス・トイレ別　 フローリング　 バルコニー　,二人入居可　 日当り良好　 角部屋　 事務所使用可　 高齢者相談　 住宅確保要配慮者の入居応相談　 保証人不要　,,一般媒介,,"
"
3,98192614,2022年12月06日,2022年12月20日,福岡市早良区祖原１７－８  mapを見る,ローズシャトー  308,福岡市空港線西新駅 徒歩8分 城西３丁目バス停 徒歩4分 駅までmap 福岡市空港線藤崎駅 徒歩11分 駅までmap ,23㎡ / 約6.96坪,,1DK,ＤＫ4.5／和6, 北,,,,無,,　,,,無,無,,無,,無,無,無,,,有、18000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,,,,,2年,,,,ＲＣ,,,地上3階建,3階部分,1979[S54]年6月,空家,相談　,都市ガス　 電気　 上水道　 下水道　 エアコン　 給湯　 トイレ　 バス・トイレ同　 シャワー　 ＣＡＴＶ　 ＢＳ端子　 洗面台　 洗濯機置場　 インターネット使い放題　,,地下鉄西新駅まで徒歩８分！通勤通学にも便利ですよ。スーパーやコンビニなどにも徒歩圏内でアクセスできます。うれしいインターネット無料ですよ～！！！閑静な住宅街にあるので、夜もリラックスして過ごせますね！,専任媒介,,"
"
8.1,99288020,2022年12月06日,2022年12月20日,福岡市博多区綱場町6-2  周辺mapを見る,パークレジデンシャル博多  1202号,福岡市空港線中洲川端駅 徒歩5分 福岡市箱崎線　呉服町駅３分,33.89㎡ / 約10.25坪,,1LDK,洋 3.2　LDK 10.1,,,,,,,　,,,無,2ヶ月,,無,,4000円,,400円,,,有、13000円、2年、火災（例）※契約者や条件によっては、内容が変更になる場合があります。,15000円 ,,,駐輪場　有：300円 / 月バイク置場　有：2200円 / 月,,2年,,,,ＲＣ,,,地上15階建,12階部分,2009[H21]年7月,空家,即時　,都市ガス　 エアコン　 バス・トイレ別　 システムキッチン　 室内洗濯機置場　 浴室乾燥機　 バルコニー　 トランクルーム　 エレベーター　 オートロック　 駐輪場　 防犯カメラ　,法人契約希望　,法人契約希望、インターネット（Ｗｉ－Ｆｉ）無料、単身者向き、トランクルーム有,一般媒介,,"
"
7.7,98556381,2022年12月06日,2022年12月20日,福岡市博多区博多駅前１丁目28-33  mapを見る,アルファコンフォート博多  1105,福岡市空港線博多駅 徒歩8分 駅までmap 福岡市空港線祇園駅 徒歩5分 駅までmap 福岡市箱崎線呉服町駅 徒歩14分 駅までmap ,23.97㎡ / 約7.25坪,,ワンルーム,, 南東,,,,空有　2万円,,　,,,無,2ヶ月,,無,,2万5000円,,無,,,有、18000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,給湯料：5000円オゾン消毒費：1万8000円,,,,2年,,,,ＲＣ,,,地上11階建,11階部分,1996[H8]年2月,空家,相談　,エアコン　 ボイラー式給湯システム　 ＢＳ端子　 ＣＳ　 室内洗濯機置場　 洗濯乾燥機　 照明器具付き　 エレベーター　 駐輪場　 24時間セキュリティ　,法人限定　 日当り良好　,,貸主,,"
"
5.2,99303806,2022年12月05日,2022年12月19日,福岡市西区姪の浜６丁目１－３８  mapを見る,セレーノ姪浜  504,福岡市空港線姪浜駅 徒歩8分 駅までmap 筑肥線下山門駅 徒歩23分 駅までmap 福岡市空港線室見駅 徒歩25分 駅までmap ,24.96㎡ / 約7.55坪,,1K,洋6.6, 西,,,,空有　1万2100円,,　,,1万1000円,無,1ヶ月 / 5.2万円,,無,,無,5000円,無,,,有、18000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,,,,,2年,,,,ＲＣ,,,地上10階建,5階部分,2006[H18]年3月,空家,相談　,プロパンガス　 電気　 上水道　 下水道　 エアコン　 給湯　 トイレ　 バス・トイレ別　 シャワー　 温水洗浄便座　 システムキッチン　 シャンプードレッサー　 室内洗濯機置場　 浴室乾燥機　 フローリング　 照明器具付き　 バルコニー　 エレベーター　 オートロック　 ＴＶモニタ付きインターホン　 駐輪場　 ２口コンロ　 インターネット使い放題　 独立洗面脱衣所　 防犯カメラ　,,ＴＶモニタ付きのインターフォンでセキュリティも安心。シャンプードレッサーがあるので毎朝の準備もスムーズです。駐輪場付き物件。嬉しいシャワートイレ付き。バストイレ別で生活しやすい間取り。浴室乾燥付き。駐車場の空きについては要確認,専任媒介,,"
"
3.4,98749432,2022年12月05日,2022年12月19日,福岡市博多区空港前２丁目６－１５  mapを見る,サンハイツ空港  102,福岡市空港線福岡空港駅 徒歩4分 稲城バス停 徒歩4分 駅までmap 篠栗線柚須駅 徒歩21分 駅までmap ,24㎡ / 約7.26坪,,1DK,ＤＫ5／洋6, 南,,,,空有　8800円,,　,,,無,無,,無,,無,3000円,無,,,有、18000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,,,,,2年,,,,ＲＣ,,,地上3階建,1階部分,1988[S63]年3月,空家,相談　2022年5月24日,プロパンガス　 電気　 上水道　 下水道　 エアコン　 給湯　 トイレ　 バス・トイレ同　 シャワー　 ＣＡＴＶ　 ガスコンロ設置可　 洗面台　 室内洗濯機置場　 バルコニー　 ＴＶモニタ付きインターホン　 インターネット使い放題　 防犯カメラ　,リノベーション　 南向き　,徒歩圏内にはコンビニや公園があります！！駐車場の空きについては要確認,専任媒介,,"
"
2.9,99294215,2022年12月05日,2022年12月19日,福岡市早良区原４丁目８－８  周辺mapを見る,エスポワールドミ藤崎南  213,福岡市空港線室見駅 徒歩23分 原４丁目バス停 徒歩6分 福岡市七隈線次郎丸駅 徒歩29分 ,16.77㎡ / 約5.07坪,,ワンルーム,洋7.5, 北,,,,空有,,　,,,無,無,,無,,無,無,無,,,有、18000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,,,,,2年,,,,ＳＲＣ,,,地上6階建,2階部分,1976[S51]年10月,空家,相談　2022年11月11日,電気　 上水道　 下水道　 エアコン　 給湯　 トイレ　 バス・トイレ同　 シャワー　 ＩＨクッキングヒーター　 洗面台　 室内洗濯機置場　 フローリング　 バルコニー　 エレベーター　 ＴＶモニタ付きインターホン　 駐輪場　 防犯カメラ　,,駐車場の空きについては要確認,専任媒介,,"
"
4.1,99171483,2022年12月06日,2022年12月20日,福岡市早良区重留４丁目２－４８  mapを見る,タカチコーポ  ２０３,重留バス停 徒歩5分 ,41㎡ / 約12.40坪,,2DK,洋 6･6　DK 6, 南,,,,空有　駐車場代無料,,　,,,2ヶ月 / 8.2万円,無,敷引 2ヶ月8.2万円 ,無,,無,無,700円,有 月額家賃等の８０％＋連帯保証人（親族有職者）※契約者や条件によっては、内容が変更になる場合があります。,,有、23000円、2年、火災（例）※契約者や条件によっては、内容が変更になる場合があります。,無,,,,,2年,,,,木造,,,地上2階建,2階部分,1985[S60]年2月,空家,即時　,プロパンガス　 エアコン　 給湯　 追焚機能　 トイレ　 バス・トイレ別　 シャワー　 収納スペース　 洗面所　 洗面台　 洗濯機置場　 ルーフバルコニー　 駐輪場　,二人入居可　 閑静住宅街　 角部屋　,２階角部屋　日当り良好　交通の利便良しエアコン有り　洋室２間有り　流し、風呂釜、湯沸し器、換気扇新調,専任媒介,ごとう　かおる,"
										TEL：092-864-3608
"
2.8,99297288,2022年12月05日,2022年12月19日,福岡市中央区薬院３丁目13-26  mapを見る,コーポ平田  202,福岡市七隈線薬院大通駅 徒歩3分 駅までmap 西鉄天神大牟田線薬院駅 徒歩7分 駅までmap 福岡市七隈線薬院駅 徒歩6分 駅までmap ,壁芯14.5㎡ / 約4.39坪,,ワンルーム,洋6,無,,,,無,,　,,,無,無,実費,無,,無,無,3880円,有 日本セーフティー※契約者や条件によっては、内容が変更になる場合があります。,,有、18000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,,,,,,2年,,巡回,,鉄骨造,,,地上4階建,2階部分,1980[S55]年3月,空家,相談　,プロパンガス　 トイレ　 バス・トイレ同　 シャワー　 収納スペース　,,,代理,,"
"
4.25,98370951,2022年12月05日,2022年12月19日,福岡市南区高宮４丁目５－２３  mapを見る,サンライズガーデン高宮弐番館  106,西鉄天神大牟田線高宮駅 徒歩9分 西鉄高宮駅バス停 徒歩7分 駅までmap 西鉄天神大牟田線西鉄平尾駅 徒歩17分 駅までmap ,20.05㎡ / 約6.07坪,,1K,洋7, 北東,,,,空有　1万1000円,,　,,,無,1ヶ月 / 4.25万円,,無,,無,2500円,無,,,有、18000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,,,,,2年,,,,木造,,,地上2階建,1階部分,2005[H17]年4月,空家,相談　,プロパンガス　 電気　 上水道　 下水道　 エアコン　 給湯　 トイレ　 バス・トイレ別　 シャワー　 ＣＡＴＶ　 洗面台　 室内洗濯機置場　 ロフト　 フローリング　 バルコニー　 オートロック　 駐輪場　 ２口コンロ　 インターネット使い放題　 防犯カメラ　 シャッター(雨戸）　,,西鉄大牟田線「高宮駅」まで徒歩９分の立地です！ロフト付なのでお荷物の多い方にオススメです♪駐車場の空きについては要確認,専任媒介,,"
"
