家賃,物件番号,情報更新日,次回更新予定日,所在地,建物名,沿線・駅・交通,専有面積,専用庭面積,間取り,間取り内訳,バルコニー,サービスルーム数,小学校区,中学校区,駐車場,駐車場：形式,駐車場：状況,駐車場備考,駐車場敷金,敷金,礼金,精算方式,保証金,保証金償却,管理費,共益費,雑費,家賃保証会社,家賃保証・保証費用等,保険,更新料,その他一時金,施設費用,その他費用,賃貸借区分,契約期間,特優賃区分,管理員の勤務形態,敷地延長,建物構造,建物工法,最適用途,階建,階,築年月,現況,入居可能時期,設備,特記事項,備考,取引態様,担当者,担当者連絡先,市区
5.9,99318718,2022年12月05日,2022年12月19日,福岡市早良区西新５丁目15-10  mapを見る,アドニスガーデン  ２０2,福岡市空港線西新駅 徒歩6分 駅までmap 修猷館前バス停 徒歩5分 脇山口バス停 徒歩3分 ,36.93㎡ / 約11.17坪,nan,1DK,ＤＫ5／洋7.5,無 南,nan,福岡市立高取小学校　距離688ｍ,福岡市立高取中学校　距離1964ｍ,無,nan,　,nan,nan,1ヶ月,1ヶ月,実費,無,nan,無,無,無,有 ふれんずサポート保証※契約者や条件によっては、内容が変更になる場合があります。,月額賃料×50％,有※契約者や条件によっては、内容が変更になる場合があります。,無,錠前取替費：1万4300円,nan,町費：300円 / 月,nan,1年,nan,nan,nan,鉄骨造,nan,nan,地上4階建,2階部分,2000[H12]年3月,空家,相談　,都市ガス　 エアコン　 給湯　 バス・トイレ別　 温水洗浄便座　 システムキッチン　 洗面台　 シャンプードレッサー　 室内洗濯機置場　 フローリング　 ルーフバルコニー（5.95㎡）　 オートロック　 駐輪場　 ２口コンロ　,角部屋　,ペット不可　バイク駐車不可商店街に面す建物です。オーナーが同一建物居住で安心です。,専任媒介,川原,"
										TEL：092-841-0035
",早良
17.8,99309320,2022年12月05日,2022年12月19日,福岡市早良区西新５丁目８－５  mapを見る,エンゼルブレッサ西新中央  204,福岡市空港線西新駅 徒歩5分 脇山口バス停 徒歩5分 駅までmap 福岡市空港線藤崎駅 徒歩10分 駅までmap ,90.85㎡ / 約27.48坪,nan,4LDK,ＬＤＫ14.4／和6／洋6／洋5.5／洋5.5, 南東,nan,nan,nan,空有,nan,　,nan,nan,1ヶ月 / 17.8万円,2ヶ月 / 35.6万円,nan,無,nan,無,無,無,nan,nan,有、22000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,nan,nan,nan,nan,2年,nan,nan,nan,ＲＣ,nan,nan,地上5階建,2階部分,2000[H12]年3月,空家,相談　2022年10月1日,都市ガス　 電気　 上水道　 下水道　 床暖房　 給湯　 追焚機能　 トイレ　 バス・トイレ別　 シャワー　 温水洗浄便座　 ＣＡＴＶ　 システムキッチン　 シャンプードレッサー　 浴室乾燥機　 フローリング　 バルコニー　 トランクルーム　 エレベーター　 オートロック　 ＴＶモニタ付きインターホン　 宅配ボックス　 駐輪場　 出窓　 ２口コンロ　 独立洗面脱衣所　,分譲タイプ　,駐車場の空きについては要確認,専任媒介,nan,"
",早良
2.9,99184864,2022年12月05日,2022年12月19日,福岡市早良区百道１丁目33-5  mapを見る,コーポＩＹＡＳＡＫＡ  11,福岡市空港線藤崎駅 徒歩11分 駅までmap ,23.53㎡ / 約7.12坪,nan,1K,和6,nan,nan,nan,nan,無,nan,　,nan,nan,無,無,実費,無,nan,無,1000円,無,nan,nan,有※契約者や条件によっては、内容が変更になる場合があります。,無,室内消毒代：1万5400円鍵交換代：1万3200円事務手数料：5500円,nan,保険・ラスタサポート：1500円 / 月,nan,2年,nan,巡回,nan,木造,nan,nan,地上2階建,2階部分,1985[S60]年3月,空家,即時　,都市ガス　 冷房　 暖房　 エアコン　 給湯　 トイレ　 バス・トイレ別　 シャワー　 収納スペース　 ガスコンロ設置可　 洗面台　 洗濯機置場　 バルコニー　 駐輪場　 和室有　 インターネット対応　 敷地内ゴミ置き場　,ペット不可　 閑静住宅街　 事務所使用可　 最上階　,Ａ　Ｄ　キャンペーン中更新事務手数料10000円（税抜）/2年,代理,管理部,"
										TEL：092-834-5539
",早良
4.1,99259988,2022年12月05日,2022年12月19日,福岡市早良区百道２丁目１４番９号  mapを見る,セントラルビレッジ百道  5002,福岡市空港線藤崎駅 徒歩3分 駅までmap ,27.2㎡ / 約8.23坪,nan,1DK,ＤＫ5／洋6, 南東 4.16㎡,nan,nan,nan,空有　1万円,nan,　,nan,nan,1.8万円,1ヶ月 / 4.1万円,nan,無,nan,無,2000円,無,有,全保連株式会社　更新有50％。1年毎1万円。口座振替手数料330円,有、15000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,鍵交換代（入居時）：1万4300円,nan,水道代（定額）：2300円 / 月町費：200円 / 月,nan,1年,nan,nan,nan,ＲＣ,nan,nan,地上5階建,5階部分,1988[S63]年2月,空家,相談　,エアコン　 トイレ　 バス・トイレ別　 シャワー　 温水洗浄便座　 システムキッチン　 室内洗濯機置場　 フローリング　 バルコニー　 エレベーター　 オートロック　 駐輪場　 オール電化　 タンク式電気給湯器　 インターネット使い放題　 防犯カメラ　 押入れ　,ペット不可　,地下鉄藤崎駅徒歩４分※敷地内駐車場空き有（要確認）。屋根付１００００円。屋根無９０００円。リモコン保証料１８０００円。,専任媒介,nan,"
",早良
3.5,99271851,2022年12月05日,2022年12月19日,福岡市早良区百道２丁目１４番９号  mapを見る,セントラルビレッジ百道  2012,福岡市空港線藤崎駅 徒歩3分 駅までmap ,23.68㎡ / 約7.16坪,nan,1K,Ｋ3／洋6, 南西 4.44㎡,nan,nan,nan,空有　9000円,nan,　,nan,nan,1.8万円,1ヶ月 / 3.5万円,nan,無,nan,無,2000円,無,有,全保連株式会社　初回50％。1年毎更新1万円。口座振替必須330円。,有、15000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,鍵交換代（入居時）：1万4300円,nan,水道代（定額）：2300円 / 月町費：200円 / 月,nan,1年,nan,nan,nan,ＲＣ,nan,nan,地上5階建,2階部分,1988[S63]年2月,空家,相談　,エアコン　 トイレ　 バス・トイレ別　 シャワー　 収納スペース　 システムキッチン　 ＩＨクッキングヒーター　 洗面台　 室内洗濯機置場　 フローリング　 バルコニー　 エレベーター　 オートロック　 駐輪場　 オール電化　 タンク式電気給湯器　 インターネット使い放題　 防犯カメラ　 シューズボックス　,ペット不可　,２口ＩＨヒーター付キッチン♪オール電化・オートロック・インターネット無料♪　　※西向き　　※敷地内駐車場は要空き確認。屋根付１００００円、屋根無９０００円。リモコン保証料１８０００円。,専任媒介,nan,"
",早良
5.2,98623609,2022年12月06日,2022年12月20日,福岡市早良区西新５丁目1-17  mapを見る,アルファコンフォート福岡西新  706,福岡市空港線西新駅 徒歩3分 駅までmap 福岡市空港線唐人町駅 徒歩19分 駅までmap 福岡市空港線藤崎駅 徒歩9分 駅までmap ,20.67㎡ / 約6.25坪,nan,1K,nan, 北,nan,nan,nan,無,nan,　,nan,nan,無,2ヶ月,nan,無,nan,1万円,nan,無,nan,nan,有、18000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,オゾン消毒費：1万8000円,nan,nan,nan,2年,nan,nan,nan,ＳＲＣ,nan,nan,地上14階建,7階部分,1992[H4]年5月,空家,相談　,都市ガス　 エアコン　 バス・トイレ別　 冷蔵庫　 ＩＨクッキングヒーター　 フローリング　 照明器具付き　 バルコニー　 エレベーター　 宅配ボックス　 駐輪場　 出窓　 24時間セキュリティ　,角部屋　,nan,貸主,nan,"
",早良
5.7,99301339,2022年12月06日,2022年12月20日,福岡市早良区飯倉７丁目14-1  mapを見る,アイリー飯倉  101,福岡市七隈線茶山駅 徒歩18分 西鉄バス(福岡市早良区) 唐木バス停 徒歩4分 駅までmap ,48.21㎡ / 約14.58坪,nan,1LDK,LDK13.3・洋6.5, 南,nan,nan,nan,空有　6600円,nan,　,nan,nan,無,5.7万円,nan,無,nan,無,2000円,無,有 【株式会社JACCS】[初回保証料1万円]【株式会社Casa】[初回保証料]賃料等合計額の50％(最低保証料2万円)。[年間保証料]1万円。※契約者や条件によっては、内容が変更になる場合があります。,nan,有、2年、当社指定（例）※契約者や条件によっては、内容が変更になる場合があります。,0.5ヶ月 ,カギ交換費用：1万7600円,nan,nan,nan,2年,nan,nan,nan,鉄骨造,nan,nan,地上2階建,1階部分,2001[H13]年4月,空家,期日指定　2022年12月21日下旬,プロパンガス　 電気　 上水道　 下水道　 給湯　 追焚機能　 トイレ　 バス・トイレ別　 温水洗浄便座　 ＣＡＴＶ　 ウォークインクローゼット　 シャンプードレッサー　 室内洗濯機置場　 専用庭　 ＴＶモニタ付きインターホン　 駐輪場　 ２口コンロ　,二人入居可　 南向き　,駐車場：平置・舗装・空有り・6600円お問合せ番号 970439-101 ●駐車場セット契約。2022年11月より禁煙物件で募集(それより前に居住の方は喫煙されている可能性有です) / 町会費500円（月額） / 保険料800円（月額） / 保険:800円/月,貸主,nan,"
",早良
3.0,99020098,2022年12月05日,2022年12月19日,福岡市早良区百道１丁目23-3  mapを見る,クリスタル百道  301,福岡市空港線藤崎駅 徒歩6分 駅までmap 福岡市空港線室見駅 徒歩13分 駅までmap 福岡市空港線西新駅 徒歩15分 駅までmap ,20㎡ / 約6.05坪,nan,1DK,nan,無,nan,nan,nan,無,nan,　,nan,nan,無,無,nan,無,nan,無,2000円,無,有 確認ください（全保連　月額合計100％ジェイリース　月額合計80％日本セーフティ：月額合計80％～100％）※契約者や条件によっては、内容が変更になる場合があります。,nan,有、17000円（例）※契約者や条件によっては、内容が変更になる場合があります。,無,鍵交換代：1万6500円,nan,共益費：2000円 / 月シード24：840円 / 月口座振替手数料：400円 / 月,nan,1年,nan,nan,nan,鉄骨造,nan,nan,地上4階建,3階部分,1988[S63]年6月,空家,即時　,プロパンガス　 エアコン　 給湯　 トイレ　 バス・トイレ別　 収納スペース　 洗面所　 洗濯機置場　 フローリング　 ２口コンロ　,分譲タイプ　 角部屋　,★礼金1ヶ月追加で2/1～入居OK★,代理,nan,"
",早良
8.1,99303881,2022年12月05日,2022年12月19日,福岡市早良区西新１丁目11-19  mapを見る,ネストピア西新Ⅱ  601,福岡市空港線西新駅 徒歩4分 駅までmap 福岡市空港線唐人町駅 徒歩17分 駅までmap 福岡市七隈線別府駅 徒歩22分 駅までmap ,33.07㎡ / 約10.00坪,nan,1LDK,nan,nan,nan,nan,nan,空無,nan,　,nan,nan,無,1ヶ月,nan,無,nan,5000円,nan,無,無,nan,有※契約者や条件によっては、内容が変更になる場合があります。,旧賃料22000円 ,退去時清掃代：6万6000円,nan,安心サポート：1500円 / 月町費：150円 / 月,nan,2年,nan,nan,nan,ＲＣ,nan,nan,地上12階建,6階部分,2013[H25]年10月,空家,相談　,プロパンガス　 冷房　 暖房　 エアコン　 トイレ　 バス・トイレ別　 シャワー　 収納スペース　 洗面所　 洗面台　 室内洗濯機置場　 バルコニー　 エレベーター　 オートロック　 宅配ボックス　 駐輪場　 独立洗面脱衣所　 防犯カメラ　 全居室フローリング　 シューズボックス　 敷地内ゴミ置き場　,ペット不可　 分譲タイプ　,"当社の空室資料はこちらからダウンロードできます。 ＩＤ、ＰＡＳＳは直接ご連絡下さい！！ 【ゼロ不動産管理ホームページ】http://www.zerokanri.co.jp/trader/index.html【初期費用】 鍵交換代：22,000（税込） 消毒代(必須税込)：13,750円（単身）保証会社：保証人有40％　無50％ 事務手数料：13,200円（税込） 安心サポート：初回入会金5000円(簡易消火器付)月額1500円 ※安心サポートには24時間緊急サポートと家財保険が含まれます。",代理,nan,"
",早良
5.2,98080520,2022年12月05日,2022年12月19日,福岡市早良区重留７丁目９－４４  周辺mapを見る,ハートランド重留Ｂ棟  202,福岡市七隈線賀茂駅 徒歩26分 四箇田団地北口バス停 徒歩8分 福岡市七隈線野芥駅 徒歩27分 ,58.84㎡ / 約17.80坪,nan,2LDK,ＬＤＫ13.5／洋6／洋4.5, 南,nan,nan,nan,空有,nan,　,nan,nan,無,1ヶ月 / 5.2万円,nan,無,nan,無,3000円,無,nan,nan,有、20000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,nan,nan,nan,nan,2年,nan,nan,nan,鉄骨造,nan,nan,地上2階建,2階部分,1995[H7]年3月,空家,相談　2022年7月12日,プロパンガス　 電気　 上水道　 下水道　 給湯　 トイレ　 バス・トイレ別　 シャワー　 ＣＡＴＶ　 ＢＳ端子　 ガスコンロ設置可　 室内洗濯機置場　 フローリング　 バルコニー　 ＴＶモニタ付きインターホン　 駐輪場　 独立洗面脱衣所　,リノベーション　 南向き　,バス停までも徒歩圏内で、天神まで１本で行けます。24時間スーパー、コンビニまで徒歩圏内でお買物にも便利な立地です。駐車場の空きについては要確認,専任媒介,nan,"
",早良
7.6,99316006,2022年12月06日,2022年12月20日,福岡市早良区有田４丁目34番20  mapを見る,Solana  0104,福岡市七隈線次郎丸駅 徒歩15分 有田バス停 徒歩4分 駅までmap ,60.04㎡ / 約18.16坪,nan,2LDK,LDK14.9・洋6・洋5, 南,nan,原西小学校　距離800ｍ,西福岡中学校　距離1000ｍ,空有　6600円,nan,　,nan,nan,無,15.2万円,nan,無,nan,3000円,nan,無,有 保証会社利用必須※契約者や条件によっては、内容が変更になる場合があります。,nan,有、20000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,20000円 ,鍵交換代（入居時）：2万9700円,nan,町費：400円 / 月住まいの安心窓口：880円 / 月,nan,2年,nan,nan,nan,木造,nan,nan,地上2階建,1階部分,2018[H30]年4月,居住中,相談　,プロパンガス　 電気　 上水道　 エアコン　 給湯　 追焚機能　 バス・トイレ別　 温水洗浄便座　 ＢＳ端子　 ＣＳ　 ウォークインクローゼット　 システムキッチン　 カウンターキッチン　 洗面台　 シャンプードレッサー　 室内洗濯機置場　 フローリング　 複層ガラス　 バルコニー　 ＴＶモニタ付きインターホン　 駐輪場　 独立洗面脱衣所　 ブロードバンド　,南向き　,インターネット月額利用料無料!　対面システムキッチン、室内洗濯機置場、シャワードレッサー、TVインターホン、温水洗浄暖房便座、バス・トイレ別、エアコン、ウォークインクローゼット、バルコニー! [その他設備] シャワー、ガスコンロ可、クローゼット、24時間緊急対応,専任媒介,nan,"
",早良
6.7,99311542,2022年12月05日,2022年12月19日,福岡市早良区荒江２丁目１６－１２  mapを見る,アビタシオン荒江  102,福岡市空港線西新駅 徒歩19分 駅までmap 福岡市空港線藤崎駅 徒歩17分 駅までmap 福岡市七隈線別府駅 徒歩18分 駅までmap ,52.53㎡ / 約15.89坪,nan,1LDK,洋5.8／ＬＤＫ14.2, 南,nan,nan,nan,空有　1万2100円,nan,　,nan,1万1000円,無,2ヶ月 / 13.4万円,nan,無,nan,無,3000円,無,nan,nan,有、20000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,nan,nan,nan,nan,2年,nan,nan,nan,ＲＣ,nan,nan,地上3階建,1階部分,2006[H18]年3月,居住中,相談　,都市ガス　 電気　 上水道　 エアコン　 給湯　 追焚機能　 バス・トイレ別　 シャワー　 ＣＡＴＶ　 システムキッチン　 カウンターキッチン　 シャンプードレッサー　 室内洗濯機置場　 フローリング　 オートロック　 駐輪場　 独立洗面脱衣所　,南向き　,１LDKでなんと50㎡ごえの広さを誇ります。リビングにダイニングテーブルと大きなソファを置けてくつろげますね！クローゼットや収納もいっぱいあります。徒歩圏内にスーパーがありお買い物も便利です。駐車場の空きについては要確認,専任媒介,nan,"
",早良
