家賃,物件番号,情報更新日,次回更新予定日,所在地,建物名,沿線・駅・交通,専有面積,専用庭面積,間取り,間取り内訳,バルコニー,サービスルーム数,小学校区,中学校区,駐車場,駐車場：形式,駐車場：状況,駐車場備考,駐車場敷金,敷金,礼金,精算方式,保証金,保証金償却,管理費,共益費,雑費,家賃保証会社,家賃保証・保証費用等,保険,更新料,その他一時金,施設費用,その他費用,賃貸借区分,契約期間,特優賃区分,管理員の勤務形態,敷地延長,建物構造,建物工法,最適用途,階建,階,築年月,現況,入居可能時期,設備,特記事項,備考,取引態様,担当者,担当者連絡先,市区
6.4,99308036,2022年12月05日,2022年12月19日,福岡市南区大楠３丁目４－２４  周辺mapを見る,Ｌａ　Ｐｅａｒｌ　高宮  202,西鉄天神大牟田線高宮駅 徒歩7分 西鉄天神大牟田線西鉄平尾駅 徒歩14分 鹿児島本線竹下駅 徒歩28分 ,40.21㎡ / 約12.16坪,nan,1LDK,ＬＤＫ10.3／洋6, 西,nan,nan,nan,無,nan,　,nan,nan,無,2ヶ月 / 12.8万円,nan,無,nan,無,3000円,無,nan,nan,有、20000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,nan,nan,nan,nan,2年,nan,nan,nan,木造,nan,nan,地上3階建,2階部分,2010[H22]年10月,空家,相談　,プロパンガス　 電気　 上水道　 下水道　 エアコン　 給湯　 トイレ　 バス・トイレ別　 シャワー　 ＣＡＴＶ　 システムキッチン　 室内洗濯機置場　 フローリング　 バルコニー　 オートロック　 ＴＶモニタ付きインターホン　 駐輪場　 ２口コンロ　 独立洗面脱衣所　,nan,nan,専任媒介,nan,"
",南
3.2,99312798,2022年12月05日,2022年12月19日,福岡市南区塩原３丁目１６－１３  周辺mapを見る,プログレス大橋  203,西鉄天神大牟田線大橋駅 徒歩6分 鹿児島本線竹下駅 徒歩10分 西鉄天神大牟田線高宮駅 徒歩23分 ,20.16㎡ / 約6.10坪,nan,1K,nan, 南東,nan,nan,nan,無,nan,　,nan,nan,無,無,nan,無,nan,無,無,無,nan,nan,有、18000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,nan,nan,nan,nan,2年,nan,nan,nan,ＲＣ,nan,nan,地上7階建,2階部分,1990[H2]年2月,空家,相談　,都市ガス　 電気　 上水道　 下水道　 エアコン　 給湯　 トイレ　 バス・トイレ同　 シャワー　 ＣＡＴＶ　 洗面台　 洗濯機置場　 フローリング　 バルコニー　 エレベーター　 オートロック　 ＴＶモニタ付きインターホン　 駐輪場　 インターネット使い放題　 防犯カメラ　,nan,nan,専任媒介,nan,"
",南
3.6,99318666,2022年12月05日,2022年12月19日,福岡市南区三宅１丁目15-16  mapを見る,クレセント大橋Ⅱ  203,西鉄天神大牟田線大橋駅 徒歩15分 駅までmap ,壁芯19.84㎡ / 約6.00坪,nan,ワンルーム,洋8, 南東 2.83㎡,nan,nan,nan,空無,nan,　,nan,nan,無,1ヶ月 / 3.6万円,実費,無,nan,無,無,300円,有 全保連※契約者や条件によっては、内容が変更になる場合があります。,100％,有、15000円、2年、賃貸総合（例）※契約者や条件によっては、内容が変更になる場合があります。,無,nan,nan,nan,nan,2年,nan,nan,nan,木造,nan,nan,地上2階建,2階部分,1994[H6]年1月,空家,即時　,プロパンガス　 エアコン　 トイレ　 バス・トイレ別　 シャワー　 ＣＡＴＶ　 収納スペース　 ガスコンロ設置可　 洗濯機置場　 バルコニー　 駐輪場　 バイク置場(屋外）　 バイク駐輪場（大型可）　 インターネット使い放題　,ペット不可　 日当り良好　 閑静住宅街　,インターネット無料,専任媒介,nan,"
",南
3.7,99245931,2022年12月06日,2022年12月20日,福岡市南区三宅２丁目28-10  mapを見る,アルカディアⅠ  103,西鉄天神大牟田線大橋駅 徒歩18分 和田バス停 徒歩4分 駅までmap 西鉄天神大牟田線井尻駅 徒歩27分 駅までmap ,20㎡ / 約6.05坪,nan,1K,nan,nan,nan,nan,nan,空無,nan,　,nan,nan,無,無,nan,無,nan,3000円,nan,無,有 フォーシーズ等※契約者や条件によっては、内容が変更になる場合があります。,nan,有※契約者や条件によっては、内容が変更になる場合があります。,5500円 ,nan,nan,町費：400円 / 月２４時間サポート：880円 / 月月額保険：740円 / 月,nan,1年,nan,nan,nan,木造,nan,nan,地上2階建,1階部分,2005[H17]年10月,空家,相談　,プロパンガス　 エアコン　 給湯　 トイレ　 バス・トイレ別　 シャワー　 温水洗浄便座　 収納スペース　 ガスコンロ設置可　 室内洗濯機置場　 フローリング　 照明器具付き　 バルコニー　 ＴＶモニタ付きインターホン　 出窓　 シャッター(雨戸）　,角部屋　,nan,代理,nan,"
",南
12.0,99311173,2022年12月05日,2022年12月19日,福岡市南区皿山４丁目１－２５  mapを見る,プレセランス長住  302,西鉄天神大牟田線高宮駅 徒歩44分 皿山４丁目バス停 徒歩3分 駅までmap 西鉄天神大牟田線大橋駅 徒歩50分 駅までmap ,76.45㎡ / 約23.13坪,nan,2LDK,洋6.2／洋5.6／ＬＤＫ22.7, 南西,nan,nan,nan,空有　6600円,nan,　,nan,nan,無,2ヶ月 / 24万円,nan,無,nan,無,5000円,無,nan,nan,有、20000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,nan,nan,nan,nan,2年,nan,nan,nan,ＲＣ,nan,nan,地上3階建,3階部分,1991[H3]年6月,空家,相談　2022年11月19日,都市ガス　 電気　 上水道　 下水道　 給湯　 追焚機能　 トイレ　 バス・トイレ別　 シャワー　 ＣＡＴＶ　 システムキッチン　 室内洗濯機置場　 バルコニー　 オートロック　 駐輪場　 ２口コンロ　 独立洗面脱衣所　,リノベーション　,駐車場の空きについては要確認,専任媒介,nan,"
",南
6.8,99034872,2022年12月05日,2022年12月19日,福岡市南区那の川２丁目４－３２  mapを見る,ＨＦ平尾レジデンス  517,西鉄天神大牟田線西鉄平尾駅 徒歩6分 駅までmap 福岡市七隈線薬院駅 徒歩14分 駅までmap ,35.48㎡ / 約10.73坪,nan,1LDK,ＬＤＫ10.4／洋4.5, 北西,nan,nan,nan,空有　8800円,nan,　,nan,8000円,1ヶ月 / 6.8万円,無,nan,無,nan,無,4000円,無,nan,nan,有、20000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,nan,nan,nan,nan,2年,nan,nan,nan,ＳＲＣ,nan,nan,地上15階建,5階部分,2003[H15]年3月,空家,相談　2022年9月19日,プロパンガス　 電気　 上水道　 下水道　 エアコン　 給湯　 トイレ　 バス・トイレ別　 シャワー　 温水洗浄便座　 ＣＡＴＶ　 ＢＳ端子　 室内洗濯機置場　 フローリング　 照明器具付き　 バルコニー　 エレベーター　 オートロック　 ＴＶモニタ付きインターホン　 宅配ボックス　 駐輪場　 ２口コンロ　 インターネット使い放題　 独立洗面脱衣所　 防犯カメラ　,nan,独立した1LDKに空きが出ました！キッチンも隠せるようになっているので、生活感をなくしたい方にお勧めです。近くに24時間営業のスーパーもあるので便利です。駐車場の空きについては要確認,専任媒介,nan,"
",南
2.9,99318682,2022年12月05日,2022年12月19日,福岡市南区横手２丁目33-26  mapを見る,パークアベニュー井尻  202,西鉄天神大牟田線井尻駅 徒歩8分 駅までmap 井尻六ツ角バス停 徒歩3分 ,壁芯22.68㎡ / 約6.86坪,nan,ワンルーム,洋／ロフト,nan,nan,nan,nan,空無,nan,　,nan,nan,無,無,実費,無,nan,無,無,300円,有 全保連※契約者や条件によっては、内容が変更になる場合があります。,nan,有、15000円、2年、エイワン（例）※契約者や条件によっては、内容が変更になる場合があります。,無,nan,nan,nan,nan,2年,nan,nan,nan,木造,nan,nan,地上2階建,2階部分,1993[H5]年3月,居住中,予定　2023年2月中旬,プロパンガス　 エアコン　 給湯　 トイレ　 バス・トイレ別　 シャワー　 ＣＡＴＶ　 収納スペース　 洗濯機置場　 ロフト　 フローリング　 バルコニー　 インターネット使い放題　,ペット不可　 閑静住宅街　 フリーレント　 事務所使用可　 最上階　,「初期費用」 ・家賃等日割り+翌月分・火災保険１５，０００円（２年間） ・入居時鍵交換代１５，０００円（税別） ・保証委託料・契約時事務手数料１５，０００円（税別） ・くらしーど（２年間）１５，０００円 (税別）※更新必須 「特約」 ・口座振替手数料３００円（税別／月額）・短期解約違約金：１年未満解約家賃２ヶ月分、１年以上２年未満家賃１ヶ月分・契約更新事務手数料１５，０００円（税別）※２年毎 ・退去時ハウスクリーニング代３０，０００円（税別）,貸主,nan,"
",南
2.7,98856357,2022年12月05日,2022年12月19日,福岡市南区井尻３丁目１７－３６  mapを見る,ダイナコート新原  206,鹿児島本線笹原駅 徒歩2分 笹原バス停 徒歩4分 駅までmap 西鉄天神大牟田線井尻駅 徒歩7分 駅までmap ,18㎡ / 約5.45坪,nan,1K,洋7, 東,nan,nan,nan,無,nan,　,nan,nan,無,無,nan,無,nan,無,3000円,無,nan,nan,有、18000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,nan,nan,nan,nan,2年,nan,nan,nan,ＲＣ,nan,nan,地上4階建,2階部分,1988[S63]年3月,空家,相談　,電気　 上水道　 下水道　 エアコン　 給湯　 トイレ　 バス・トイレ同　 シャワー　 洗面台　 室内洗濯機置場　 バルコニー　 駐輪場　 防犯カメラ　,nan,笹原駅まで徒歩2分圏内のお部屋です。月々の水道料込みの3万円！敷金・礼金も0です。,専任媒介,nan,"
",南
5.9,99317199,2022年12月05日,2022年12月19日,福岡市南区野間１丁目6-9  mapを見る,ヴィラージュ高宮ストリート  902,西鉄天神大牟田線高宮駅 徒歩7分 野間四角バス停 徒歩1分 駅までmap 西鉄天神大牟田線西鉄平尾駅 徒歩20分 駅までmap 鹿児島本線竹下駅 徒歩27分 駅までmap ,24.25㎡ / 約7.34坪,nan,1DK,洋 2.4　DK 4.9, 南東,nan,nan,nan,無,nan,　,nan,nan,無,1ヶ月,nan,無,nan,無,4000円,250円,有 全保連：５０％（更新有）または１００％（更新無）更新料１０，０００円／年※契約者や条件によっては、内容が変更になる場合があります。,nan,有、18000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,nan,nan,バイク置場　有：1100円 / 月,nan,2年,nan,巡回,nan,ＲＣ,nan,nan,地上10階建,9階部分,2017[H29]年2月,空家,相談　,プロパンガス　 エアコン　 給湯　 トイレ　 バス・トイレ別　 シャワー　 温水洗浄便座　 ＢＳ端子　 ＣＳ　 収納スペース　 システムキッチン　 洗面所　 洗面台　 シャンプードレッサー　 室内洗濯機置場　 浴室乾燥機　 フローリング　 ディンプルキー　 バルコニー　 エレベーター　 オートロック　 ＴＶモニタ付きインターホン　 モニター付きオートロック　 宅配ボックス　 駐輪場　 24時間換気システム　 防犯カメラ　 火災報知機　,最上階　,雑費２５０円／月（町内会費）バイク置き場２５０ｃｃまで駐輪可,代理,nan,"
",南
6.6,99252825,2022年12月06日,2022年12月20日,福岡市南区大橋２丁目19-10  mapを見る,アルファレガロ大橋  801,西鉄天神大牟田線大橋駅 徒歩6分 駅までmap 西鉄天神大牟田線高宮駅 徒歩24分 駅までmap 西鉄天神大牟田線井尻駅 徒歩20分 駅までmap 西鉄大橋駅（西鉄バス）徒歩6分,26.12㎡ / 約7.90坪,nan,1K,洋7, 東,nan,nan,nan,空有　1万5000円,nan,　,nan,nan,1ヶ月,1ヶ月,nan,無,nan,5000円,nan,無,nan,nan,有、18000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,抗菌処理費：1万4000円,nan,nan,nan,2年,nan,nan,nan,ＲＣ,nan,nan,地上12階建,8階部分,2022[R4]年7月（新築）,空家,相談　,都市ガス　 エアコン　 追焚機能　 バス・トイレ別　 ＢＳ端子　 ＣＳ　 ＩＨクッキングヒーター　 洗面所　 洗面台　 室内洗濯機置場　 浴室乾燥機　 フローリング　 バルコニー　 エレベーター　 ＴＶモニタ付きインターホン　 宅配ボックス　 駐輪場　 24時間換気システム　,日当り良好　 角部屋　,nan,貸主,nan,"
",南
4.5,99309653,2022年12月06日,2022年12月20日,福岡市南区大楠３丁目4-14  mapを見る,ヴォーヌンク日赤通り  601,西鉄天神大牟田線高宮駅 徒歩7分 駅までmap 西鉄天神大牟田線西鉄平尾駅 徒歩16分 駅までmap 西鉄天神大牟田線大橋駅 徒歩21分 駅までmap ,24.13㎡ / 約7.30坪,nan,1K,洋 9　K 3,nan,nan,nan,nan,空無　1万5400円,nan,　,nan,nan,無,無,nan,無,nan,無,3000円,400円,有 全保連株式会社【保証料：月額総賃料の１００％】※契約者や条件によっては、内容が変更になる場合があります。,nan,有、15000円、2年、借家人賠償付火災（例）※契約者や条件によっては、内容が変更になる場合があります。,11000円 ,退居時清掃代：4万5000円事務手数料：1万1000円室内消毒代：1万1000円エアコンクリーニング代：1万1000円,nan,水道代（定額）：2500円 / 月２４時間安心サポート：880円 / 月,nan,2年,nan,巡回,nan,ＲＣ,nan,nan,地上8階建,6階部分,2002[H14]年12月,空家,相談　,プロパンガス　 エアコン　 給湯　 トイレ　 バス・トイレ別　 シャワー　 温水洗浄便座　 収納スペース　 室内洗濯機置場　 フローリング　 バルコニー　 エレベーター　 オートロック　 モニター付きオートロック　 駐輪場　,角部屋　 外観タイル張り　,ウォシュレット設置します。写真はイメージ様です。クロス等の柄が変更される場合があります。,貸主,nan,"
",南
6.6,99252792,2022年12月06日,2022年12月20日,福岡市南区大橋２丁目19-10  mapを見る,アルファレガロ大橋  1104,西鉄天神大牟田線大橋駅 徒歩6分 駅までmap 西鉄天神大牟田線高宮駅 徒歩24分 駅までmap 西鉄天神大牟田線井尻駅 徒歩20分 駅までmap 西鉄大橋駅（西鉄バス）徒歩6分,25.07㎡ / 約7.58坪,nan,1K,洋7, 東,nan,nan,nan,空有　1万5000円,nan,　,nan,nan,1ヶ月,1ヶ月,nan,無,nan,5000円,nan,無,nan,nan,有、18000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,抗菌処理費：1万4000円,nan,nan,nan,2年,nan,nan,nan,ＲＣ,nan,nan,地上12階建,11階部分,2022[R4]年7月（新築）,空家,相談　,都市ガス　 エアコン　 追焚機能　 バス・トイレ別　 ＢＳ端子　 ＣＳ　 ＩＨクッキングヒーター　 洗面所　 洗面台　 室内洗濯機置場　 浴室乾燥機　 フローリング　 バルコニー　 エレベーター　 ＴＶモニタ付きインターホン　 宅配ボックス　 駐輪場　 24時間換気システム　,日当り良好　,nan,貸主,nan,"
",南
