家賃,物件番号,情報更新日,次回更新予定日,所在地,建物名,沿線・駅・交通,専有面積,専用庭面積,間取り,間取り内訳,バルコニー,サービスルーム数,小学校区,中学校区,駐車場,駐車場：形式,駐車場：状況,駐車場備考,駐車場敷金,敷金,礼金,精算方式,保証金,保証金償却,管理費,共益費,雑費,家賃保証会社,家賃保証・保証費用等,保険,更新料,その他一時金,施設費用,その他費用,賃貸借区分,契約期間,特優賃区分,管理員の勤務形態,敷地延長,建物構造,建物工法,最適用途,階建,階,築年月,現況,入居可能時期,設備,特記事項,備考,取引態様,担当者,担当者連絡先,市区
3.0,98434317,2022年12月05日,2022年12月19日,福岡市東区下原３丁目１５－５  mapを見る,サンガーデン２番館  203,鹿児島本線九産大前駅 徒歩24分 駅までmap 鹿児島本線香椎駅 徒歩33分 駅までmap 西日本鉄道貝塚線西鉄香椎駅 徒歩35分 駅までmap ,22.68㎡ / 約6.86坪,nan,ワンルーム,洋8.6, 南東,nan,nan,nan,空有,nan,　,nan,nan,無,無,nan,無,nan,無,2500円,無,nan,nan,有、18000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,nan,nan,nan,nan,2年,nan,nan,nan,木造,nan,nan,地上2階建,2階部分,1999[H11]年3月,空家,相談　,プロパンガス　 電気　 上水道　 下水道　 エアコン　 給湯　 トイレ　 バス・トイレ別　 シャワー　 ＣＡＴＶ　 システムキッチン　 洗濯機置場　 ロフト　 フローリング　 バルコニー　 ２口コンロ　,nan,東区下原３丁目のアパートタイプに空き情報です◎◎洋室9帖の広々空間★なんとキッチンには2口コンロも完備です★★敷地内駐車場もありますのでお車をお持ちの方もいかがでしょうか？？駐車場の空きについては要確認,専任媒介,nan,"
",東
7.6,98616167,2022年12月05日,2022年12月19日,福岡市東区箱崎１丁目６－１６  mapを見る,Ａｄｅｎ箱崎駅前  1504,鹿児島本線箱崎駅 徒歩1分 箱崎駅西口バス停 徒歩1分 駅までmap 福岡市箱崎線箱崎九大前駅 徒歩12分 駅までmap ,37.05㎡ / 約11.21坪,nan,1LDK,ＬＤＫ9.9／洋3.6, 西,nan,nan,nan,空有　1万2100円,nan,　,nan,1万1000円,無,無,nan,無,nan,無,5000円,無,nan,nan,有、20000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,nan,nan,nan,nan,2年,nan,nan,nan,ＳＲＣ,nan,nan,地上15階建,15階部分,2008[H20]年2月,空家,相談　2022年5月19日,プロパンガス　 電気　 上水道　 下水道　 エアコン　 給湯　 トイレ　 バス・トイレ別　 シャワー　 ＢＳ端子　 ＣＳ　 ＩＨクッキングヒーター　 シャンプードレッサー　 室内洗濯機置場　 フローリング　 照明器具付き　 エレベーター　 オートロック　 ＴＶモニタ付きインターホン　 宅配ボックス　 駐輪場　 インターネット使い放題　 独立洗面脱衣所　 防犯カメラ　,nan,モニター付きインターフォンや高温さし湯など充実の設備です◎◎周辺にはスーパーやコンビニ、飲食店など非常に充実ですよ♪♪駅近の1ＬＤＫをご検討してみませんか？？ご連絡お待ちしております★★駐車場の空きについては要確認,専任媒介,nan,"
",東
2.8,99302436,2022年12月05日,2022年12月19日,福岡市東区唐原４丁目6-1  mapを見る,タウンハウス松香台  106,西日本鉄道貝塚線唐の原駅 徒歩5分 駅までmap 鹿児島本線九産大前駅 徒歩10分 駅までmap 大名バス停 徒歩1分 ,20㎡ / 約6.05坪,nan,1K,洋7.5, 南,nan,nan,nan,空無,nan,　,nan,nan,無,無,nan,無,nan,無,3000円,100円,有 選択制（イタンジBBより選択）※契約者や条件によっては、内容が変更になる場合があります。,"50％～20,000円",有、16000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,nan,消毒代：1万7600円鍵交換代：1万6500円,nan,nan,nan,2年,nan,巡回,nan,軽量鉄骨,nan,nan,地上2階建,1階部分,1994[H6]年4月,空家,即時　,プロパンガス　 エアコン　 給湯　 トイレ　 バス・トイレ別　 シャワー　 温水洗浄便座　 ＣＡＴＶ　 収納スペース　 洗面所　 洗濯機置場　 室内洗濯機置場　 バルコニー　 ＴＶモニタ付きインターホン　 駐輪場　 バイク置場(屋外）　 インターネット使い放題　 シャッター(雨戸）　 インターネット対応　 ＣＡＴＶインターネット　 玄関収納　 敷地内ゴミ置き場　,ペット相談可　 小型犬可　 猫可　 保証人不要　,■ワンちゃんネコちゃん飼育可能です♪■駐輪場はバイク駐輪も可能です♪　※要現地確認■洗浄便座ついてます☆※写真と現況が異なる場合は現況優先となります。　資料と現況が異なる場合は現況優先となります。お気軽にクロスリビングまでお問合せください♪,代理,nan,"
",東
15.1,99311516,2022年12月06日,2022年12月20日,福岡市東区香椎照葉５丁目1-14  mapを見る,ラクレイス香椎照葉  912,香椎照葉五丁目バス停 徒歩2分 ,76.44㎡ / 約23.12坪,nan,3LDK,LDK14.9×洋7×洋6.1×洋4.9, 北東,nan,nan,nan,空有　1万6500円,nan,　,nan,nan,1ヶ月,2ヶ月,nan,無,nan,8000円,nan,無,nan,nan,有※契約者や条件によっては、内容が変更になる場合があります。,無,カギ交換費用（契約時）：2万9700円消毒料（契約時）：1万5400円再契約事務手数料：3万3000円,nan,ライフサポート（月額）：800円 / 月,定期借家,2年,nan,nan,nan,ＲＣ,nan,nan,地上12階建,9階部分,2019[R1]年8月,居住中,相談　,都市ガス　 上水道　 給湯　 追焚機能　 バス・トイレ別　 温水洗浄便座　 ＢＳ端子　 ＣＳ　 ウォークインクローゼット　 システムキッチン　 カウンターキッチン　 洗面台　 シャンプードレッサー　 室内洗濯機置場　 浴室乾燥機　 フローリング　 複層ガラス　 バルコニー　 エレベーター　 オートロック　 ＴＶモニタ付きインターホン　 宅配ボックス　 駐輪場　 24時間換気システム　 バイク置場(屋外）　 インターネット使い放題　 独立洗面脱衣所　 防犯カメラ　 エレベーター2基以上　,ペット相談可　 小型犬可　,駐車場：※普通車なし、軽区画1台空き、敷金2ケ月/(料金)普通15000円/小型保証会社保証料（契約時）50％　エポスカード（月次保証800円） / 建物内にスーパーやスポーツクラブ、保育所など暮らしを豊かに便利にサポートする店舗や施設あり。 / ■個人契約:定期借家2年　再契約事務手数料33000円(税込)　大手法人/社宅代行契約:　一般借家2年　更新事務手数料33000円(税込) ■ペット飼育可能(小型犬2匹まで・1匹につき礼金1ヶ月プラス)成長時50センチ以下、10キロ以下　　■大型バイク駐車可能　月額1100円(税込)  / コンロ３口以上,代理,nan,"
",東
3.0,99309770,2022年12月06日,2022年12月20日,福岡市東区香住ヶ丘４丁目2-27  mapを見る,ガーデンハイム香住ヶ丘  101,西日本鉄道貝塚線香椎花園前駅 徒歩5分 香住ヶ丘4丁目バス停 徒歩3分 駅までmap ,21㎡ / 約6.35坪,nan,1K,6, 南,nan,nan,nan,空有　7150円,nan,　,nan,nan,無,無,nan,無,nan,3000円,nan,無,有 ニッポンインシュア 初回保証料2万円　学生プラン1万円　更新料10、000円/1年毎※契約者や条件によっては、内容が変更になる場合があります。,nan,有、10000円、1年、少額短期保険(個人契約)（例）※契約者や条件によっては、内容が変更になる場合があります。,無,鍵交換代（契約時）：1万7600円更新事務手数料（更新時）：1万1000円室内清掃費用（退去時）：3万3000円,nan,町内会費（月額）：250円 / 月集金手数料（月額）：220円 / 月,nan,2年,nan,nan,nan,ＲＣ,nan,nan,地上3階建,1階部分,1995[H7]年3月,空家,相談　,プロパンガス　 電気　 上水道　 下水道　 エアコン　 給湯　 トイレ　 バス・トイレ別　 洗面台　 フローリング　 バルコニー　 オートロック　 駐輪場　,角部屋　 南向き　,保証会社保証料（契約時）20000円　ニッポンインシュア　学生プラン10000円　（更新料10000円/1年） / 諸条件ご相談下さい!!! / ■1年未満の解約で賃料2ヶ月分・1年以上2年未満の解約で賃料1ヶ月分の違約金有り ■退去時精算:故意過失の実費※退去時清掃代有り・賃料の1ヶ月分 ■春入居相談可能,代理,nan,"
",東
7.0,98426568,2022年12月05日,2022年12月19日,福岡市東区千早５丁目４－２５  周辺mapを見る,ルネッサンス２１千早  206,鹿児島本線千早駅 徒歩6分 御幸町バス停 徒歩4分 西日本鉄道貝塚線西鉄千早駅 徒歩6分 ,35.55㎡ / 約10.75坪,nan,1LDK,ＬＤＫ8.7／洋5.6, 北東,nan,nan,nan,空無,nan,　,nan,nan,1ヶ月 / 7万円,1ヶ月 / 7万円,nan,無,nan,無,4000円,無,nan,nan,有、20000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,nan,nan,nan,nan,2年,nan,nan,nan,ＳＲＣ,nan,nan,地上14階建地下1階建,2階部分,2006[H18]年10月,空家,相談　2022年11月28日,都市ガス　 電気　 上水道　 下水道　 エアコン　 給湯　 追焚機能　 トイレ　 共同トイレ　 バス・トイレ別　 シャワー　 温水洗浄便座　 ＣＡＴＶ　 ＢＳ端子　 ＣＳ　 システムキッチン　 シャンプードレッサー　 室内洗濯機置場　 フローリング　 バルコニー　 エレベーター　 オートロック　 ＴＶモニタ付きインターホン　 宅配ボックス　 駐輪場　 ２口コンロ　 インターネット使い放題　 独立洗面脱衣所　 防犯カメラ　,ペット相談可　 猫可　,駐車場の空きについては要確認,専任媒介,nan,"
",東
3.2,99318041,2022年12月05日,2022年12月19日,福岡市東区多の津４丁目１２－３６  mapを見る,ＪＯＹハウス多の津  303,篠栗線柚須駅 徒歩24分 駅までmap 鹿児島本線箱崎駅 徒歩36分 駅までmap ,18.53㎡ / 約5.61坪,nan,1K,洋6, 南西,nan,nan,nan,無,nan,　,nan,nan,無,無,nan,無,nan,無,3000円,無,nan,nan,有、18000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,nan,nan,nan,nan,2年,nan,nan,nan,ＲＣ,nan,nan,地上5階建,3階部分,1987[S62]年5月,居住中,相談　,プロパンガス　 電気　 上水道　 下水道　 エアコン　 給湯　 トイレ　 バス・トイレ別　 シャワー　 ガスコンロ設置可　 洗面台　 洗濯機置場　 バルコニー　 エレベーター　 駐輪場　,nan,nan,専任媒介,nan,"
",東
5.5,98377827,2022年12月06日,2022年12月20日,福岡市東区松田３丁目１５－２  mapを見る,ハイネス　エミュ  203,篠栗線柚須駅 徒歩8分 松田バス停 徒歩6分 駅までmap 鹿児島本線箱崎駅 徒歩20分 駅までmap ,45.5㎡ / 約13.76坪,nan,1LDK,洋7／ＬＤＫ12.2, 南西,nan,nan,nan,空有　5500円,nan,　,nan,nan,無,1ヶ月 / 5.5万円,nan,無,nan,無,4000円,無,nan,nan,有、20000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,nan,nan,nan,nan,2年,nan,nan,nan,鉄骨造,nan,nan,地上2階建,2階部分,2004[H16]年9月,空家,相談　,都市ガス　 電気　 上水道　 下水道　 エアコン　 給湯　 追焚機能　 バス・トイレ別　 シャワー　 ＣＡＴＶ　 ＢＳ端子　 システムキッチン　 シャンプードレッサー　 室内洗濯機置場　 ロフト　 フローリング　 照明器具付き　 ＴＶモニタ付きインターホン　 駐輪場　,nan,駐車場の空きについては要確認,専任媒介,nan,"
",東
5.5,99311315,2022年12月05日,2022年12月19日,福岡市東区和白３丁目24-10  mapを見る,アップテッセ  203,香椎線和白駅 徒歩4分 駅までmap 西日本鉄道貝塚線和白駅 徒歩5分 駅までmap 西日本鉄道貝塚線唐の原駅 徒歩17分 駅までmap ,内法33.44㎡ / 約10.12坪,nan,1LDK,ＬＤＫ8.7／洋3.7,nan,nan,nan,nan,無,nan,　,nan,nan,無,1ヶ月,実費,無,nan,無,3000円,無,有 アップフォワード※契約者や条件によっては、内容が変更になる場合があります。,初回保証料60%,有、18000円、2年、日本共済（例）※契約者や条件によっては、内容が変更になる場合があります。,旧賃料22000円 ,nan,nan,２４時間サポート：660円 / 月町費：200円 / 月,nan,2年,nan,巡回,nan,木造,nan,nan,地上3階建,2階部分,2022[R4]年7月（新築）,空家,即時　,プロパンガス　 エアコン　 トイレ　 バス・トイレ別　 シャワー　 温水洗浄便座　 ＣＡＴＶ　 ＢＳ端子　 システムキッチン　 浴室乾燥機　 フローリング　 バルコニー　 オートロック　 ＴＶモニタ付きインターホン　 ２口コンロ　 インターネット使い放題　 独立洗面脱衣所　 全居室フローリング　 インターネット対応　 敷地内ゴミ置き場　,角部屋　,"※物件のお問い合わせは下記担当者携帯までご連絡下さい。FAX番号:(092)707-7099入居時消毒代16,500円（税込）退去時クリーニング代　49,500円（税込）短期解約違約金　1年未満1ヶ月",貸主,松森,"
										TEL：080-8592-6749
",東
3.2,99289453,2022年12月05日,2022年12月19日,福岡市東区筥松４丁目10-2  mapを見る,シバタビルディング  303,西日本鉄道貝塚線貝塚駅 徒歩9分 駅までmap 福岡市箱崎線貝塚駅 徒歩8分 駅までmap 西日本鉄道貝塚線名島駅 徒歩22分 駅までmap ,23㎡ / 約6.96坪,nan,1K,洋8,nan,nan,nan,nan,空有　5500円,nan,　,nan,nan,無,無,nan,無,nan,3000円,nan,無,nan,nan,有※契約者や条件によっては、内容が変更になる場合があります。,nan,nan,nan,保険：1000円 / 月安心サポート：880円 / 月町費：300円 / 月,nan,2年,nan,nan,nan,鉄骨造,nan,nan,地上3階建,3階部分,1997[H9]年1月,居住中,相談　,都市ガス　 エアコン　 給湯　 トイレ　 バス・トイレ別　 シャワー　 温水洗浄便座　 収納スペース　 洗濯機置場　 室内洗濯機置場　 フローリング　 バルコニー　 敷地内ゴミ置き場　,最上階　,退去時清掃代として18000円(税別）を申し受けるものとする,一般媒介,nan,"
",東
4.8,99302314,2022年12月05日,2022年12月19日,福岡市東区原田１丁目２１－３１  mapを見る,ラ・クール箱崎Ⅱ－Ａ棟  202,鹿児島本線箱崎駅 徒歩13分 原田バス停 徒歩5分 駅までmap 福岡市箱崎線箱崎九大前駅 徒歩20分 駅までmap ,32.89㎡ / 約9.95坪,nan,1DK,洋10／ＤＫ4, 南東,nan,nan,nan,空有,nan,　,nan,nan,無,無,nan,無,nan,無,3000円,無,nan,nan,有、18000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,nan,nan,nan,nan,2年,nan,nan,nan,鉄骨造,nan,nan,地上2階建,2階部分,1997[H9]年1月,空家,相談　,都市ガス　 電気　 上水道　 下水道　 エアコン　 シャワー　 ＣＡＴＶ　 ＢＳ端子　 洗面台　 室内洗濯機置場　 駐輪場　 インターネット使い放題　 防犯カメラ　,nan,洋室広々10帖！！駐車場の空きについては要確認,専任媒介,nan,"
",東
