家賃,物件番号,情報更新日,次回更新予定日,所在地,建物名,沿線・駅・交通,専有面積,専用庭面積,間取り,間取り内訳,バルコニー,サービスルーム数,小学校区,中学校区,駐車場,駐車場：形式,駐車場：状況,駐車場備考,駐車場敷金,敷金,礼金,精算方式,保証金,保証金償却,管理費,共益費,雑費,家賃保証会社,家賃保証・保証費用等,保険,更新料,その他一時金,施設費用,その他費用,賃貸借区分,契約期間,特優賃区分,管理員の勤務形態,敷地延長,建物構造,建物工法,最適用途,階建,階,築年月,現況,入居可能時期,設備,特記事項,備考,取引態様,担当者,担当者連絡先,市区
6.5,99318050,2022年12月05日,2022年12月19日,福岡市中央区春吉１丁目１１－５２  mapを見る,ＨＭリバーサイド天神  605,福岡市七隈線渡辺通駅 徒歩7分 駅までmap 西鉄天神大牟田線薬院駅 徒歩10分 駅までmap 福岡市七隈線天神南駅 徒歩14分 駅までmap ,25.5㎡ / 約7.71坪,nan,1K,洋6.8, 南,nan,nan,nan,空有　1万4300円,nan,　,nan,1万3000円,無,無,nan,0.6万円 ,nan,無,4500円,無,nan,nan,有、18000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,nan,nan,nan,nan,2年,nan,nan,nan,ＲＣ,nan,nan,地上14階建,6階部分,2017[H29]年1月,居住中,相談　,プロパンガス　 電気　 上水道　 下水道　 エアコン　 給湯　 トイレ　 バス・トイレ別　 シャワー　 温水洗浄便座　 ＢＳ端子　 システムキッチン　 シャンプードレッサー　 室内洗濯機置場　 フローリング　 バルコニー　 エレベーター　 オートロック　 ＴＶモニタ付きインターホン　 宅配ボックス　 駐輪場　 ２口コンロ　 インターネット使い放題　 独立洗面脱衣所　 防犯カメラ　,南向き　,駐車場の空きについては要確認,専任媒介,nan,"
",中央
4.0,99257441,2022年12月05日,2022年12月19日,福岡市中央区鳥飼１丁目4-42  mapを見る,第７共立ビル  505号室,福岡市空港線唐人町駅 徒歩16分 駅までmap 福岡市七隈線別府駅 徒歩14分 駅までmap 福岡市七隈線六本松駅 徒歩15分 駅までmap ,壁芯21.73㎡ / 約6.57坪,nan,1DK,洋6／ＤＫ6, 南,nan,nan,nan,無,nan,　,nan,nan,無,無,実費,無,nan,無,2000円,410円,有 全保連※契約者や条件によっては、内容が変更になる場合があります。,nan,有、2年、借家人賠責保険（例）※契約者や条件によっては、内容が変更になる場合があります。,nan,nan,nan,nan,nan,2年,nan,nan,nan,ＳＲＣ,nan,nan,地上9階建,5階部分,1985[S60]年1月,空家,即時　,都市ガス　 エアコン　 バス・トイレ同　 ＣＡＴＶ　 収納スペース　 ＩＨクッキングヒーター　 室内洗濯機置場　 バルコニー　 エレベーター　 オートロック　 ＴＶモニタ付きインターホン　 インターネット使い放題　 全居室フローリング　,日当り良好　 角部屋　,AD高くお支払いします。お問い合わせください。,貸主,藤本,"
										TEL：093-953-6606
",中央
6.0,98015909,2022年12月06日,2022年12月20日,福岡市中央区唐人町２丁目７－１０  mapを見る,トピア大濠  602,福岡市空港線唐人町駅 徒歩7分 福浜２丁目バス停 徒歩2分 駅までmap 福岡市空港線大濠公園駅 徒歩16分 駅までmap ,27㎡ / 約8.17坪,nan,1K,洋9.6, 南西,nan,nan,nan,空有　1万9800円,nan,　,nan,1万8000円,無,2ヶ月 / 12万円,nan,無,nan,無,無,無,nan,nan,有、18000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,nan,nan,nan,nan,2年,nan,nan,nan,ＲＣ,nan,nan,地上7階建,6階部分,1997[H9]年8月,空家,相談　,都市ガス　 電気　 上水道　 下水道　 エアコン　 給湯　 バス・トイレ別　 シャワー　 ＣＡＴＶ　 ＢＳ端子　 洗面台　 室内洗濯機置場　 フローリング　 エレベーター　 オートロック　 駐輪場　,nan,広～い１Ｋで一人暮らしの方におすすめです☆駐車場の空きについては要確認,専任媒介,nan,"
",中央
4.2,99258576,2022年12月06日,2022年12月20日,福岡市中央区高砂１丁目２１-２７  mapを見る,ボンフル高砂  406,福岡市七隈線薬院駅 徒歩5分 駅までmap 西鉄天神大牟田線薬院駅 徒歩6分 駅までmap 福岡市空港線天神駅 徒歩18分 駅までmap ,22㎡ / 約6.66坪,nan,ワンルーム,洋 7, 北,nan,nan,nan,無,nan,　,nan,nan,無,無,nan,無,nan,無,4000円,200円,有 全保連への加入。賃料総額の１００％ｏｒ５０％＋年間継続保証料１万円。※契約者や条件によっては、内容が変更になる場合があります。,nan,有、15200円、2年、みらい少額短期（例）※契約者や条件によっては、内容が変更になる場合があります。,無,駐輪シール：550円退去時清掃代：2万7500円,nan,バイク置場５０ＣＣまで：1100円 / 月バイク置場５１ＣＣ～４００ＣＣまで：2200円 / 月バイク置場４０１ＣＣ以上：3300円 / 月,nan,2年,nan,巡回,nan,ＲＣ,nan,nan,地上8階建,4階部分,1986[S61]年1月,空家,即時　,都市ガス　 エアコン　 給湯　 トイレ　 バス・トイレ別　 シャワー　 温水洗浄便座　 収納スペース　 ＩＨクッキングヒーター　 洗濯機置場　 室内洗濯機置場　 フローリング　 バルコニー　 エレベーター　 オートロック　 駐輪場　,事務所使用可　,オートロック付の単身向け貸マンションです！新しくウォシュレット設置致しました♪管理物件の為、ご入居後も弊社にてご対応させて頂きます！水道代は２ヶ月に一度、弊社よりご請求させていただきます。,代理,丸山,"
										TEL：090-8760-0641
",中央
4.1,99298020,2022年12月05日,2022年12月19日,福岡市中央区高砂１丁目２２－２１  mapを見る,Ｅ－Ｌｉｆｅ渡辺通り  202,西鉄天神大牟田線薬院駅 徒歩4分 駅までmap 福岡市七隈線渡辺通駅 徒歩5分 駅までmap 福岡市七隈線薬院駅 徒歩4分 駅までmap ,18.11㎡ / 約5.48坪,nan,ワンルーム,nan, 西,nan,nan,nan,空無,nan,　,nan,nan,無,1ヶ月 / 4.1万円,nan,無,nan,無,3500円,無,nan,nan,有、18000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,nan,nan,nan,nan,2年,nan,nan,nan,鉄骨造,nan,nan,地上4階建,2階部分,2006[H18]年1月,空家,相談　,プロパンガス　 電気　 上水道　 下水道　 エアコン　 給湯　 トイレ　 バス・トイレ別　 シャワー　 温水洗浄便座　 洗面台　 室内洗濯機置場　 フローリング　 バルコニー　 オートロック　 インターネット使い放題　,nan, 室内広々?無料インターネット導入済みです★天神近辺でお探しの方に是非ご内覧ください！駐車場の空きについては要確認,専任媒介,nan,"
",中央
2.8,99318696,2022年12月05日,2022年12月19日,福岡市中央区高砂２丁目6-23  mapを見る,ストゥーディオ南天神  206,西鉄天神大牟田線西鉄平尾駅 徒歩10分 駅までmap 福岡市七隈線渡辺通駅 徒歩13分 駅までmap 西鉄天神大牟田線薬院駅 徒歩14分 駅までmap ,壁芯19.8㎡ / 約5.99坪,nan,1K,nan, 南東,nan,福岡市立高宮小学校　距離545ｍ,福岡市立高宮中学校　距離967ｍ,無,nan,　,nan,nan,無,1ヶ月,実費,無,nan,無,3000円,無,有 Casa※契約者や条件によっては、内容が変更になる場合があります。,50%,有、18000円、2年、フレックス少額短期保険（例）※契約者や条件によっては、内容が変更になる場合があります。,nan,nan,nan,水道料：3000円 / 月,nan,1年,nan,nan,nan,鉄骨造,nan,nan,地上6階建,4階部分,1987[S62]年4月,空家,相談　,冷房　 暖房　 エアコン　 給湯　 トイレ　 シャワー　 洗面台　 洗濯機置場　 フローリング　 バルコニー　 エレベーター　 駐輪場　 バイク置場(屋外）　,ペット不可　 外観タイル張り　 保証人不要　,現状優先,代理,nan,"
",中央
7.1,98869989,2022年12月05日,2022年12月19日,福岡市中央区桜坂３丁目1-33  mapを見る,フリーデル桜坂  404,福岡市七隈線桜坂駅 徒歩5分 駅までmap 福岡市七隈線薬院大通駅 徒歩8分 駅までmap 雙葉学園入口バス停 徒歩1分 ,壁芯34.1㎡ / 約10.32坪,nan,1LDK,ＬＤＫ9.1／洋3.8, 南東,nan,nan,nan,空有　1万6500円,nan,　,nan,nan,無,2ヶ月,実費,無,nan,無,4000円,無,nan,nan,有、住宅総合保険（例）※契約者や条件によっては、内容が変更になる場合があります。,nan,nan,nan,町費：300円 / 月安心サポート：880円 / 月,nan,2年,nan,nan,nan,ＲＣ,nan,nan,地上10階建,4階部分,2017[H29]年3月,空家,即時　,プロパンガス　 エアコン　 給湯　 トイレ　 バス・トイレ別　 シャワー　 温水洗浄便座　 ＣＡＴＶ　 ＢＳ端子　 収納スペース　 ウォークインクローゼット　 システムキッチン　 カウンターキッチン　 シャンプードレッサー　 室内洗濯機置場　 フローリング　 照明器具付き　 ディンプルキー　 エレベーター　 オートロック　 ＴＶモニタ付きインターホン　 宅配ボックス　 駐輪場　 出窓　 バイク置場(屋外）　 ２口コンロ　 インターネット使い放題　 独立洗面脱衣所　 防犯カメラ　 防犯セキュリティ　 火災報知機　 ＣＡＴＶインターネット　 シューズボックス　 敷地内ゴミ置き場　,ペット不可　 二人入居可　 日当り良好　 角部屋　 外観タイル張り　,"ネット無料J:COM12Mwi-fi【初期費用】○鍵交換代：20,000円(税別)○火災保険料：18,000円/2年○消毒代：20,000円(税別)○保証会社：加入要（ジェイリース）　初回家賃総額80％(更新料無し) or 50％(更新料1万/年)　引落手数料600円/月【特約事項】●退去時精算方法：クリーニング代　35,000円(税別)●更新事務手数料：15,000円(税別)/2年●短期解約違約金：1年未満での解約は2ヶ月分、1年以上2年未満での解約は1ヶ月分を申し受けます。",代理,nan,"
",中央
10.8,99165671,2022年12月05日,2022年12月19日,福岡市中央区荒戸２丁目４－３８  周辺mapを見る,西公園パーク・マンション  702,福岡市空港線大濠公園駅 徒歩8分 ,64.64㎡ / 約19.55坪,nan,3LDK,ＬＤＫ13.6／洋6.1／洋4.5／和6, 南,nan,nan,nan,無,nan,　,nan,nan,無,2ヶ月 / 21.6万円,nan,無,nan,無,無,無,nan,nan,有、22000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,nan,nan,nan,nan,2年,nan,nan,nan,ＳＲＣ,nan,nan,地上9階建,7階部分,1986[S61]年9月,居住中,相談　,都市ガス　 電気　 上水道　 給湯　 トイレ　 バス・トイレ別　 シャワー　 温水洗浄便座　 システムキッチン　 カウンターキッチン　 シャンプードレッサー　 室内洗濯機置場　 フローリング　 バルコニー　 エレベーター　 オートロック　 ２口コンロ　 独立洗面脱衣所　,分譲タイプ　 南向き　,nan,専任媒介,nan,"
",中央
4.9,99288279,2022年12月05日,2022年12月19日,福岡市中央区高砂２丁目1-18  mapを見る,リバティ高砂六番館  309,福岡市七隈線渡辺通駅 徒歩9分 駅までmap ,24.5㎡ / 約7.41坪,nan,1K,洋7.8, 東,nan,nan,nan,空有　1万6500円,nan,　,nan,nan,無,無,実費,無,nan,無,5000円,3680円,"有 ジェイリース（30％の場合は、更新料10,000円/年）※契約者や条件によっては、内容が変更になる場合があります。",30％又は80％,有、17000円、2年、東京海上ウエスト少額短期保険（例）※契約者や条件によっては、内容が変更になる場合があります。,無,nan,nan,nan,nan,2年,nan,巡回,nan,ＲＣ,nan,nan,地上9階建,3階部分,2002[H14]年7月,空家,即時　,プロパンガス　 エアコン　 給湯　 トイレ　 バス・トイレ別　 シャワー　 温水洗浄便座　 収納スペース　 洗面台　 室内洗濯機置場　 フローリング　 バルコニー　 エレベーター　 オートロック　 宅配ボックス　 駐輪場　 出窓　 ２口コンロ　 インターネット使い放題　 防犯カメラ　 インターネット対応　 ＣＡＴＶインターネット　 シューズボックス　 敷地内ゴミ置き場　,ペット相談可　 小型犬可　 猫可　 日当り良好　 角部屋　,※退去時清掃代1ヶ月ペット飼育時礼金1ヶ月追加,一般媒介,nan,"
",中央
8.8,98904768,2022年12月05日,2022年12月19日,福岡市中央区大名１丁目９－５０  周辺mapを見る,ネクストオーク大名  1007,福岡市空港線赤坂駅 徒歩5分 福岡市空港線天神駅 徒歩10分 福岡市空港線大濠公園駅 徒歩18分 ,32.27㎡ / 約9.76坪,nan,1K,洋9.9, 南,nan,nan,nan,空有　2万6400円,nan,　,nan,nan,無,1ヶ月 / 8.8万円,nan,無,nan,無,3000円,無,nan,nan,有、18000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,nan,nan,nan,nan,2年,nan,nan,nan,ＲＣ,nan,nan,地上12階建,10階部分,2020[R2]年7月,空家,相談　,電気　 上水道　 下水道　 エアコン　 給湯　 追焚機能　 トイレ　 バス・トイレ別　 シャワー　 温水洗浄便座　 ＢＳ端子　 システムキッチン　 ＩＨクッキングヒーター　 シャンプードレッサー　 室内洗濯機置場　 浴室乾燥機　 照明器具付き　 バルコニー　 エレベーター　 オートロック　 ＴＶモニタ付きインターホン　 宅配ボックス　 駐輪場　 ２口コンロ　 インターネット使い放題　 独立洗面脱衣所　 防犯カメラ　,ペット相談可　 猫可　 南向き　,1階にはスーパーが入っていますのでとても便利です。駐車場の空きについては要確認,専任媒介,nan,"
",中央
3.3,99259843,2022年12月06日,2022年12月20日,福岡市中央区薬院２丁目4-29  周辺mapを見る,Ｙｉｓ’１薬院（ワイズワン薬院）  403,福岡市七隈線薬院大通駅 徒歩2分 薬院２丁目バス停 徒歩2分 西鉄天神大牟田線薬院駅 徒歩9分 ,21㎡ / 約6.35坪,nan,ワンルーム,洋 10,nan,nan,nan,nan,無,nan,　,nan,nan,無,1ヶ月,nan,無,nan,無,2000円,無,nan,nan,有、15000円、2年（例）※契約者や条件によっては、内容が変更になる場合があります。,無,nan,nan,水道料：2600円 / 月衛生費：300円 / 月,定期借家,2年,nan,巡回,nan,ＲＣ,nan,nan,地上5階建,4階部分,1985[S60]年5月,空家,相談　,都市ガス　 エアコン　 給湯　 バス・トイレ同　 シャワー　 ＣＡＴＶ　 収納スペース　 洗濯機置場　 フローリング　 バルコニー　,閑静住宅街　 事務所使用可　,広めの１Ｒｏｏｍです。Ｊ－ｃｏｍＩｎＭｙＲｏｏｍ４０Ｍインターネット無料※事務所使用　相談可！（諸条件変更あります。）,専任媒介,nan,"
										TEL：092-801-7007
",中央
3.9,99307899,2022年12月06日,2022年12月20日,福岡市中央区六本松３丁目12－24 (地番[360－2])  周辺mapを見る,マノワール欅 ,福岡市七隈線六本松駅 徒歩8分 西鉄バス　護国神社前バス停 徒歩1分 ,24㎡ / 約7.26坪,nan,1DK,和 6　DK 6,nan,nan,nan,nan,無,nan,　,nan,nan,無,無,nan,無,nan,無,無,300円,有 全保連。日本セーフティ　家賃の３０％※契約者や条件によっては、内容が変更になる場合があります。,nan,有、17000円、2年、エイワン少額短期保障（例）※契約者や条件によっては、内容が変更になる場合があります。,無,nan,nan,nan,nan,2年,nan,nan,nan,ＲＣ,nan,nan,地上4階建,4階部分,1988[S63]年3月,空家,相談　,都市ガス　 エアコン　 給湯　 バス・トイレ別　 シャワー　 電話機　 収納スペース　 洗濯機置場　 フローリング　 照明器具付き　 バルコニー　 駐輪場　 火災報知機　,角部屋　,nan,一般媒介,nan,"
",中央
